BN_index,SHD_BDE,Jaccard_BDE,Precision_BDE,Recall_BDE,F1_BDE,SHD_MDL,Jaccard_MDL,Precision_MDL,Recall_MDL,F1_MDL
BN_0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
BN_1,18,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0
BN_2,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
BN_3,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
BN_4,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0
BN_5,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0
BN_6,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0
BN_7,25,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0
BN_8,52,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0
BN_9,32,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0
BN_10,25,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0
BN_11,35,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0
