,BDE,BDE,BDE,BDE,BDE,MDL,MDL,MDL,MDL,MDL
,SHD,Jaccard,Precision,Recall,F1,SHD,Jaccard,Precision,Recall,F1
Dataset,,,,,,,,,,
bn_0_m_asynch_t_3_s_50_f_5,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
bn_0_m_synch_t_3_s_50_f_3,5,0.0,0.0,0.0,0.0,4,0.3333333333333333,0.4,0.6666666666666666,0.5
bn_0_m_asynch_t_3_s_50_f_1,1,0.75,0.75,1.0,0.8571428571428571,3,0.5,0.5,1.0,0.6666666666666666
bn_0_m_asynch_t_8_s_50_f_3,3,0.25,0.5,0.3333333333333333,0.4,4,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
bn_0_m_synch_t_3_s_100_f_3,4,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.4,0.5,0.6666666666666666,0.5714285714285714
bn_0_m_asynch_t_1_s_50_f_3,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
bn_0_m_synch_t_3_s_10_f_3,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
bn_0_m_synch_t_3_s_50_f_5,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0
bn_0_m_asynch_t_3_s_50_f_3,5,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857,5,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857
bn_0_m_synch_t_1_s_50_f_3,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
bn_0_m_synch_t_8_s_50_f_3,4,0.3333333333333333,0.4,0.6666666666666666,0.5,5,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.4444444444444444
bn_0_m_synch_t_3_s_50_f_1,0,1.0,1.0,1.0,1.0,1,0.75,0.75,1.0,0.8571428571428571
bn_0_m_asynch_t_3_s_10_f_3,3,0.0,0.0,0.0,0.0,3,0.25,0.5,0.3333333333333333,0.4
bn_0_m_asynch_t_3_s_100_f_3,5,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857,5,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857
bn_1_m_asynch_t_3_s_50_f_5,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0
bn_1_m_synch_t_3_s_50_f_3,13,0.1875,0.75,0.2,0.3157894736842105,13,0.1875,0.75,0.2,0.3157894736842105
bn_1_m_asynch_t_3_s_50_f_1,12,0.4782608695652174,0.5789473684210527,0.7333333333333333,0.6470588235294118,12,0.4782608695652174,0.5789473684210527,0.7333333333333333,0.6470588235294118
bn_1_m_asynch_t_8_s_50_f_3,13,0.2777777777777778,0.625,0.3333333333333333,0.43478260869565216,11,0.3888888888888889,0.7,0.4666666666666667,0.56
bn_1_m_synch_t_3_s_100_f_3,16,0.15789473684210525,0.42857142857142855,0.2,0.2727272727272727,14,0.2631578947368421,0.5555555555555556,0.3333333333333333,0.4166666666666667
bn_1_m_asynch_t_1_s_50_f_3,15,0.0625,0.5,0.06666666666666667,0.11764705882352941,17,0.05555555555555555,0.25,0.06666666666666667,0.10526315789473684
bn_1_m_synch_t_3_s_10_f_3,14,0.06666666666666667,1.0,0.06666666666666667,0.125,16,0.058823529411764705,0.3333333333333333,0.06666666666666667,0.1111111111111111
bn_1_m_synch_t_3_s_50_f_5,15,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0
bn_1_m_asynch_t_3_s_50_f_3,15,0.11764705882352941,0.5,0.13333333333333333,0.21052631578947367,13,0.23529411764705882,0.6666666666666666,0.26666666666666666,0.38095238095238093
bn_1_m_synch_t_1_s_50_f_3,14,0.125,0.6666666666666666,0.13333333333333333,0.2222222222222222,14,0.125,0.6666666666666666,0.13333333333333333,0.2222222222222222
bn_1_m_synch_t_8_s_50_f_3,11,0.35294117647058826,0.75,0.4,0.5217391304347826,9,0.47058823529411764,0.8,0.5333333333333333,0.64
bn_1_m_synch_t_3_s_50_f_1,16,0.30434782608695654,0.4666666666666667,0.4666666666666667,0.4666666666666667,16,0.30434782608695654,0.4666666666666667,0.4666666666666667,0.4666666666666667
bn_1_m_asynch_t_3_s_10_f_3,14,0.06666666666666667,1.0,0.06666666666666667,0.125,15,0.11764705882352941,0.5,0.13333333333333333,0.21052631578947367
bn_1_m_asynch_t_3_s_100_f_3,16,0.15789473684210525,0.42857142857142855,0.2,0.2727272727272727,16,0.23809523809523808,0.45454545454545453,0.3333333333333333,0.38461538461538464
bn_2_m_asynch_t_3_s_50_f_5,18,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0
bn_2_m_synch_t_3_s_50_f_3,21,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0
bn_2_m_asynch_t_3_s_50_f_1,23,0.14814814814814814,0.23529411764705882,0.2857142857142857,0.25806451612903225,24,0.14285714285714285,0.2222222222222222,0.2857142857142857,0.25
bn_2_m_asynch_t_8_s_50_f_3,18,0.21739130434782608,0.35714285714285715,0.35714285714285715,0.35714285714285715,20,0.2,0.3125,0.35714285714285715,0.3333333333333333
bn_2_m_synch_t_3_s_100_f_3,19,0.13636363636363635,0.2727272727272727,0.21428571428571427,0.24,17,0.22727272727272727,0.38461538461538464,0.35714285714285715,0.37037037037037035
bn_2_m_asynch_t_1_s_50_f_3,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0
bn_2_m_synch_t_3_s_10_f_3,17,0.05555555555555555,0.2,0.07142857142857142,0.10526315789473684,17,0.05555555555555555,0.2,0.07142857142857142,0.10526315789473684
bn_2_m_synch_t_3_s_50_f_5,16,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.2,14,0.2222222222222222,0.5,0.2857142857142857,0.36363636363636365
bn_2_m_asynch_t_3_s_50_f_3,21,0.045454545454545456,0.1111111111111111,0.07142857142857142,0.08695652173913043,24,0.04,0.08333333333333333,0.07142857142857142,0.07692307692307693
bn_2_m_synch_t_1_s_50_f_3,16,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.2,16,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.2
bn_2_m_synch_t_8_s_50_f_3,25,0.07407407407407407,0.13333333333333333,0.14285714285714285,0.13793103448275862,25,0.07407407407407407,0.13333333333333333,0.14285714285714285,0.13793103448275862
bn_2_m_synch_t_3_s_50_f_1,22,0.15384615384615385,0.25,0.2857142857142857,0.26666666666666666,23,0.11538461538461539,0.2,0.21428571428571427,0.20689655172413793
bn_2_m_asynch_t_3_s_10_f_3,17,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0
