name,mode,length,frequency,attractors
dataset_0_traj_0,sync,127,4,0.97
dataset_0_traj_1,async,105,1,0.98
dataset_0_traj_2,async,65,4,0.94
dataset_0_traj_3,sync,195,4,0.98
dataset_1_traj_0,sync,174,5,1.0
dataset_1_traj_1,sync,50,1,1.0
dataset_1_traj_2,async,129,1,1.0
dataset_1_traj_3,sync,57,5,1.0
dataset_2_traj_0,sync,105,5,0.95
dataset_3_traj_0,sync,87,5,0.94
dataset_3_traj_1,async,158,5,0.94
dataset_3_traj_2,sync,106,1,0.98
dataset_3_traj_3,async,131,5,0.96
dataset_3_traj_4,sync,147,5,0.97
dataset_4_traj_0,async,164,5,0.94
dataset_4_traj_1,async,182,4,0.96
dataset_4_traj_2,sync,149,5,0.97
dataset_5_traj_0,sync,148,4,0.97
dataset_5_traj_1,async,82,5,0.82
dataset_5_traj_2,async,167,4,0.9
dataset_6_traj_0,sync,163,3,0.98
dataset_7_traj_0,sync,157,5,0.97
dataset_7_traj_1,async,79,1,0.93
dataset_7_traj_2,async,89,1,0.91
dataset_7_traj_3,async,81,1,0.93
dataset_7_traj_4,sync,109,3,0.97
dataset_8_traj_0,async,138,1,0.91
dataset_8_traj_1,sync,128,2,0.0
dataset_8_traj_2,async,87,1,0.9
dataset_8_traj_3,async,60,1,0.84
dataset_9_traj_0,async,79,2,0.9
dataset_10_traj_0,async,149,1,0.93
dataset_10_traj_1,sync,143,1,0.97
dataset_11_traj_0,async,63,4,0.81
dataset_11_traj_1,async,76,1,0.9
dataset_11_traj_2,sync,98,3,0.94
