name,mode,length,frequency,attractors
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_0,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_1,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_2,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_3,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_4,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_5,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_6,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_7,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_8,syn,30,1,100.0
bn_0_m_syn_t_10_s_30_f_1_a_100.0_traj_9,syn,30,1,100.0
