name,mode,length,frequency,attractors
bn_0_m_synch_t_3_s_50_f_3_a_94.0_traj_0,synch,50,3,94.0
bn_0_m_synch_t_3_s_50_f_3_a_100.0_traj_1,synch,50,3,100.0
bn_0_m_synch_t_3_s_50_f_3_a_94.0_traj_2,synch,50,3,94.0
bn_0_m_synch_t_3_s_100_f_3_a_97.0_traj_0,synch,100,3,97.0
bn_0_m_synch_t_3_s_100_f_3_a_100.0_traj_1,synch,100,3,100.0
bn_0_m_synch_t_3_s_100_f_3_a_97.0_traj_2,synch,100,3,97.0
bn_0_m_asynch_t_3_s_50_f_3_a_94.0_traj_0,asynch,50,3,94.0
bn_0_m_asynch_t_3_s_50_f_3_a_82.0_traj_1,asynch,50,3,82.0
bn_0_m_asynch_t_3_s_50_f_3_a_100.0_traj_2,asynch,50,3,100.0
bn_0_m_synch_t_3_s_10_f_3_a_75.0_traj_0,synch,10,3,75.0
bn_0_m_synch_t_3_s_10_f_3_a_75.0_traj_1,synch,10,3,75.0
bn_0_m_synch_t_3_s_10_f_3_a_75.0_traj_2,synch,10,3,75.0
bn_0_m_synch_t_1_s_50_f_3_a_94.0_traj_0,synch,50,3,94.0
bn_0_m_asynch_t_3_s_50_f_5_a_82.0_traj_0,asynch,50,5,82.0
bn_0_m_asynch_t_3_s_50_f_5_a_91.0_traj_1,asynch,50,5,91.0
bn_0_m_asynch_t_3_s_50_f_5_a_91.0_traj_2,asynch,50,5,91.0
bn_0_m_synch_t_3_s_50_f_5_a_82.0_traj_0,synch,50,5,82.0
bn_0_m_synch_t_3_s_50_f_5_a_91.0_traj_1,synch,50,5,91.0
bn_0_m_synch_t_3_s_50_f_5_a_91.0_traj_2,synch,50,5,91.0
bn_0_m_asynch_t_1_s_50_f_3_a_94.0_traj_0,asynch,50,3,94.0
bn_0_m_asynch_t_3_s_100_f_3_a_94.0_traj_0,asynch,100,3,94.0
bn_0_m_asynch_t_3_s_100_f_3_a_100.0_traj_1,asynch,100,3,100.0
bn_0_m_asynch_t_3_s_100_f_3_a_97.0_traj_2,asynch,100,3,97.0
bn_0_m_synch_t_8_s_50_f_3_a_94.0_traj_0,synch,50,3,94.0
bn_0_m_synch_t_8_s_50_f_3_a_88.0_traj_1,synch,50,3,88.0
bn_0_m_synch_t_8_s_50_f_3_a_100.0_traj_2,synch,50,3,100.0
bn_0_m_synch_t_8_s_50_f_3_a_94.0_traj_3,synch,50,3,94.0
bn_0_m_synch_t_8_s_50_f_3_a_94.0_traj_4,synch,50,3,94.0
bn_0_m_synch_t_8_s_50_f_3_a_94.0_traj_5,synch,50,3,94.0
bn_0_m_synch_t_8_s_50_f_3_a_94.0_traj_6,synch,50,3,94.0
bn_0_m_synch_t_8_s_50_f_3_a_88.0_traj_7,synch,50,3,88.0
bn_0_m_asynch_t_8_s_50_f_3_a_94.0_traj_0,asynch,50,3,94.0
bn_0_m_asynch_t_8_s_50_f_3_a_94.0_traj_1,asynch,50,3,94.0
bn_0_m_asynch_t_8_s_50_f_3_a_82.0_traj_2,asynch,50,3,82.0
bn_0_m_asynch_t_8_s_50_f_3_a_100.0_traj_3,asynch,50,3,100.0
bn_0_m_asynch_t_8_s_50_f_3_a_88.0_traj_4,asynch,50,3,88.0
bn_0_m_asynch_t_8_s_50_f_3_a_94.0_traj_5,asynch,50,3,94.0
bn_0_m_asynch_t_8_s_50_f_3_a_94.0_traj_6,asynch,50,3,94.0
bn_0_m_asynch_t_8_s_50_f_3_a_94.0_traj_7,asynch,50,3,94.0
bn_0_m_synch_t_3_s_50_f_1_a_96.0_traj_0,synch,50,1,96.0
bn_0_m_synch_t_3_s_50_f_1_a_96.0_traj_1,synch,50,1,96.0
bn_0_m_synch_t_3_s_50_f_1_a_100.0_traj_2,synch,50,1,100.0
bn_0_m_asynch_t_3_s_10_f_3_a_75.0_traj_0,asynch,10,3,75.0
bn_0_m_asynch_t_3_s_10_f_3_a_75.0_traj_1,asynch,10,3,75.0
bn_0_m_asynch_t_3_s_10_f_3_a_75.0_traj_2,asynch,10,3,75.0
bn_0_m_asynch_t_3_s_50_f_1_a_96.0_traj_0,asynch,50,1,96.0
bn_0_m_asynch_t_3_s_50_f_1_a_94.0_traj_1,asynch,50,1,94.0
bn_0_m_asynch_t_3_s_50_f_1_a_98.0_traj_2,asynch,50,1,98.0
bn_1_m_synch_t_3_s_50_f_3_a_100.0_traj_0,synch,50,3,100.0
bn_1_m_synch_t_3_s_50_f_3_a_82.0_traj_1,synch,50,3,82.0
bn_1_m_synch_t_3_s_50_f_3_a_88.0_traj_2,synch,50,3,88.0
bn_1_m_synch_t_3_s_100_f_3_a_85.0_traj_0,synch,100,3,85.0
bn_1_m_synch_t_3_s_100_f_3_a_97.0_traj_1,synch,100,3,97.0
bn_1_m_synch_t_3_s_100_f_3_a_94.0_traj_2,synch,100,3,94.0
bn_1_m_asynch_t_3_s_50_f_3_a_88.0_traj_0,asynch,50,3,88.0
bn_1_m_asynch_t_3_s_50_f_3_a_94.0_traj_1,asynch,50,3,94.0
bn_1_m_asynch_t_3_s_50_f_3_a_88.0_traj_2,asynch,50,3,88.0
bn_1_m_synch_t_3_s_10_f_3_a_25.0_traj_0,synch,10,3,25.0
bn_1_m_synch_t_3_s_10_f_3_a_100.0_traj_1,synch,10,3,100.0
bn_1_m_synch_t_3_s_10_f_3_a_100.0_traj_2,synch,10,3,100.0
bn_1_m_synch_t_1_s_50_f_3_a_94.0_traj_0,synch,50,3,94.0
bn_1_m_asynch_t_3_s_50_f_5_a_91.0_traj_0,asynch,50,5,91.0
bn_1_m_asynch_t_3_s_50_f_5_a_91.0_traj_1,asynch,50,5,91.0
bn_1_m_asynch_t_3_s_50_f_5_a_91.0_traj_2,asynch,50,5,91.0
bn_1_m_synch_t_3_s_50_f_5_a_73.0_traj_0,synch,50,5,73.0
bn_1_m_synch_t_3_s_50_f_5_a_91.0_traj_1,synch,50,5,91.0
bn_1_m_synch_t_3_s_50_f_5_a_91.0_traj_2,synch,50,5,91.0
bn_1_m_asynch_t_1_s_50_f_3_a_65.0_traj_0,asynch,50,3,65.0
bn_1_m_asynch_t_3_s_100_f_3_a_100.0_traj_0,asynch,100,3,100.0
bn_1_m_asynch_t_3_s_100_f_3_a_97.0_traj_1,asynch,100,3,97.0
bn_1_m_asynch_t_3_s_100_f_3_a_94.0_traj_2,asynch,100,3,94.0
bn_1_m_synch_t_8_s_50_f_3_a_88.0_traj_0,synch,50,3,88.0
bn_1_m_synch_t_8_s_50_f_3_a_88.0_traj_1,synch,50,3,88.0
bn_1_m_synch_t_8_s_50_f_3_a_100.0_traj_2,synch,50,3,100.0
bn_1_m_synch_t_8_s_50_f_3_a_88.0_traj_3,synch,50,3,88.0
bn_1_m_synch_t_8_s_50_f_3_a_94.0_traj_4,synch,50,3,94.0
bn_1_m_synch_t_8_s_50_f_3_a_71.0_traj_5,synch,50,3,71.0
bn_1_m_synch_t_8_s_50_f_3_a_71.0_traj_6,synch,50,3,71.0
bn_1_m_synch_t_8_s_50_f_3_a_88.0_traj_7,synch,50,3,88.0
bn_1_m_asynch_t_8_s_50_f_3_a_100.0_traj_0,asynch,50,3,100.0
bn_1_m_asynch_t_8_s_50_f_3_a_94.0_traj_1,asynch,50,3,94.0
bn_1_m_asynch_t_8_s_50_f_3_a_59.0_traj_2,asynch,50,3,59.0
bn_1_m_asynch_t_8_s_50_f_3_a_100.0_traj_3,asynch,50,3,100.0
bn_1_m_asynch_t_8_s_50_f_3_a_100.0_traj_4,asynch,50,3,100.0
bn_1_m_asynch_t_8_s_50_f_3_a_65.0_traj_5,asynch,50,3,65.0
bn_1_m_asynch_t_8_s_50_f_3_a_94.0_traj_6,asynch,50,3,94.0
bn_1_m_asynch_t_8_s_50_f_3_a_76.0_traj_7,asynch,50,3,76.0
bn_1_m_synch_t_3_s_50_f_1_a_67.0_traj_0,synch,50,1,67.0
bn_1_m_synch_t_3_s_50_f_1_a_73.0_traj_1,synch,50,1,73.0
bn_1_m_synch_t_3_s_50_f_1_a_96.0_traj_2,synch,50,1,96.0
bn_1_m_asynch_t_3_s_10_f_3_a_50.0_traj_0,asynch,10,3,50.0
bn_1_m_asynch_t_3_s_10_f_3_a_100.0_traj_1,asynch,10,3,100.0
bn_1_m_asynch_t_3_s_10_f_3_a_50.0_traj_2,asynch,10,3,50.0
bn_1_m_asynch_t_3_s_50_f_1_a_94.0_traj_0,asynch,50,1,94.0
bn_1_m_asynch_t_3_s_50_f_1_a_94.0_traj_1,asynch,50,1,94.0
bn_1_m_asynch_t_3_s_50_f_1_a_76.0_traj_2,asynch,50,1,76.0
bn_2_m_synch_t_3_s_50_f_3_a_82.0_traj_0,synch,50,3,82.0
bn_2_m_synch_t_3_s_50_f_3_a_76.0_traj_1,synch,50,3,76.0
bn_2_m_synch_t_3_s_50_f_3_a_82.0_traj_2,synch,50,3,82.0
bn_2_m_synch_t_3_s_100_f_3_a_88.0_traj_0,synch,100,3,88.0
bn_2_m_synch_t_3_s_100_f_3_a_85.0_traj_1,synch,100,3,85.0
bn_2_m_synch_t_3_s_100_f_3_a_88.0_traj_2,synch,100,3,88.0
bn_2_m_asynch_t_3_s_50_f_3_a_71.0_traj_0,asynch,50,3,71.0
bn_2_m_asynch_t_3_s_50_f_3_a_82.0_traj_1,asynch,50,3,82.0
bn_2_m_asynch_t_3_s_50_f_3_a_71.0_traj_2,asynch,50,3,71.0
bn_2_m_synch_t_3_s_10_f_3_a_0.0_traj_0,synch,10,3,0.0
bn_2_m_synch_t_3_s_10_f_3_a_0.0_traj_1,synch,10,3,0.0
bn_2_m_synch_t_3_s_10_f_3_a_0.0_traj_2,synch,10,3,0.0
bn_2_m_synch_t_1_s_50_f_3_a_71.0_traj_0,synch,50,3,71.0
bn_2_m_asynch_t_3_s_50_f_5_a_82.0_traj_0,asynch,50,5,82.0
bn_2_m_asynch_t_3_s_50_f_5_a_82.0_traj_1,asynch,50,5,82.0
bn_2_m_asynch_t_3_s_50_f_5_a_82.0_traj_2,asynch,50,5,82.0
bn_2_m_synch_t_3_s_50_f_5_a_82.0_traj_0,synch,50,5,82.0
bn_2_m_synch_t_3_s_50_f_5_a_82.0_traj_1,synch,50,5,82.0
bn_2_m_synch_t_3_s_50_f_5_a_82.0_traj_2,synch,50,5,82.0
bn_2_m_asynch_t_1_s_50_f_3_a_71.0_traj_0,asynch,50,3,71.0
bn_2_m_asynch_t_3_s_100_f_3_a_88.0_traj_0,asynch,100,3,88.0
bn_2_m_asynch_t_3_s_100_f_3_a_85.0_traj_1,asynch,100,3,85.0
bn_2_m_asynch_t_3_s_100_f_3_a_88.0_traj_2,asynch,100,3,88.0
bn_2_m_synch_t_8_s_50_f_3_a_71.0_traj_0,synch,50,3,71.0
bn_2_m_synch_t_8_s_50_f_3_a_82.0_traj_1,synch,50,3,82.0
bn_2_m_synch_t_8_s_50_f_3_a_82.0_traj_2,synch,50,3,82.0
bn_2_m_synch_t_8_s_50_f_3_a_88.0_traj_3,synch,50,3,88.0
bn_2_m_synch_t_8_s_50_f_3_a_71.0_traj_4,synch,50,3,71.0
bn_2_m_synch_t_8_s_50_f_3_a_88.0_traj_5,synch,50,3,88.0
bn_2_m_synch_t_8_s_50_f_3_a_82.0_traj_6,synch,50,3,82.0
bn_2_m_synch_t_8_s_50_f_3_a_88.0_traj_7,synch,50,3,88.0
bn_2_m_asynch_t_8_s_50_f_3_a_82.0_traj_0,asynch,50,3,82.0
bn_2_m_asynch_t_8_s_50_f_3_a_76.0_traj_1,asynch,50,3,76.0
bn_2_m_asynch_t_8_s_50_f_3_a_65.0_traj_2,asynch,50,3,65.0
bn_2_m_asynch_t_8_s_50_f_3_a_76.0_traj_3,asynch,50,3,76.0
bn_2_m_asynch_t_8_s_50_f_3_a_82.0_traj_4,asynch,50,3,82.0
bn_2_m_asynch_t_8_s_50_f_3_a_88.0_traj_5,asynch,50,3,88.0
bn_2_m_asynch_t_8_s_50_f_3_a_71.0_traj_6,asynch,50,3,71.0
bn_2_m_asynch_t_8_s_50_f_3_a_71.0_traj_7,asynch,50,3,71.0
bn_2_m_synch_t_3_s_50_f_1_a_71.0_traj_0,synch,50,1,71.0
bn_2_m_synch_t_3_s_50_f_1_a_76.0_traj_1,synch,50,1,76.0
bn_2_m_synch_t_3_s_50_f_1_a_73.0_traj_2,synch,50,1,73.0
bn_2_m_asynch_t_3_s_10_f_3_a_0.0_traj_0,asynch,10,3,0.0
bn_2_m_asynch_t_3_s_10_f_3_a_0.0_traj_1,asynch,10,3,0.0
bn_2_m_asynch_t_3_s_10_f_3_a_25.0_traj_2,asynch,10,3,25.0
bn_2_m_asynch_t_3_s_50_f_1_a_84.0_traj_0,asynch,50,1,84.0
bn_2_m_asynch_t_3_s_50_f_1_a_71.0_traj_1,asynch,50,1,71.0
bn_2_m_asynch_t_3_s_50_f_1_a_96.0_traj_2,asynch,50,1,96.0
