dataset,total_score
bn_0_m_asynch_t_1_s_50_f_3.txt,39.4568642149
bn_0_m_asynch_t_3_s_100_f_3.txt,295.507124041
bn_0_m_asynch_t_3_s_10_f_3.txt,40.7114052464
bn_0_m_asynch_t_3_s_50_f_1.txt,115.579310031
bn_0_m_asynch_t_3_s_50_f_3.txt,162.696320795
bn_0_m_asynch_t_3_s_50_f_5.txt,60.4795805065
bn_0_m_asynch_t_8_s_50_f_3.txt,388.247768676
bn_0_m_synch_t_1_s_50_f_3.txt,39.4568642149
bn_0_m_synch_t_3_s_100_f_3.txt,295.700885679
bn_0_m_synch_t_3_s_10_f_3.txt,34.7865927428
bn_0_m_synch_t_3_s_50_f_1.txt,142.650341691
bn_0_m_synch_t_3_s_50_f_3.txt,162.696320795
bn_0_m_synch_t_3_s_50_f_5.txt,60.4795805065
bn_0_m_synch_t_8_s_50_f_3.txt,304.228582507
bn_1_m_asynch_t_1_s_50_f_3.txt,144.152797051
bn_1_m_asynch_t_3_s_100_f_3.txt,671.429919118
bn_1_m_asynch_t_3_s_10_f_3.txt,76.0532131465
bn_1_m_asynch_t_3_s_50_f_1.txt,1016.48681353
bn_1_m_asynch_t_3_s_50_f_3.txt,345.238173477
bn_1_m_asynch_t_3_s_50_f_5.txt,234.942012206
bn_1_m_asynch_t_8_s_50_f_3.txt,892.176796397
bn_1_m_synch_t_1_s_50_f_3.txt,139.214624365
bn_1_m_synch_t_3_s_100_f_3.txt,733.891447524
bn_1_m_synch_t_3_s_10_f_3.txt,74.8308207251
bn_1_m_synch_t_3_s_50_f_1.txt,966.495174582
bn_1_m_synch_t_3_s_50_f_3.txt,381.222526488
bn_1_m_synch_t_3_s_50_f_5.txt,253.046559816
bn_1_m_synch_t_8_s_50_f_3.txt,878.914298817
bn_2_m_asynch_t_1_s_50_f_3.txt,105.489674593
bn_2_m_asynch_t_3_s_100_f_3.txt,207.204853455
bn_2_m_asynch_t_3_s_10_f_3.txt,119.694229065
bn_2_m_asynch_t_3_s_50_f_1.txt,294.869818013
bn_2_m_asynch_t_3_s_50_f_3.txt,208.559565928
bn_2_m_asynch_t_3_s_50_f_5.txt,182.046661597
bn_2_m_asynch_t_8_s_50_f_3.txt,598.840365522
bn_2_m_synch_t_1_s_50_f_3.txt,94.1904665747
bn_2_m_synch_t_3_s_100_f_3.txt,221.504030032
bn_2_m_synch_t_3_s_10_f_3.txt,94.1249593739
bn_2_m_synch_t_3_s_50_f_1.txt,363.812017764
bn_2_m_synch_t_3_s_50_f_3.txt,237.006457349
bn_2_m_synch_t_3_s_50_f_5.txt,183.331055749
bn_2_m_synch_t_8_s_50_f_3.txt,489.45514022
