dataset,total_score
bn_0_m_asynch_t_1_s_50_f_3.txt,34.9252761241
bn_0_m_asynch_t_3_s_100_f_3.txt,145.027921374
bn_0_m_asynch_t_3_s_10_f_3.txt,51.569180932
bn_0_m_asynch_t_3_s_50_f_1.txt,81.5264630638
bn_0_m_asynch_t_3_s_50_f_3.txt,160.663013489
bn_0_m_asynch_t_3_s_50_f_5.txt,48.9929900513
bn_0_m_asynch_t_8_s_50_f_3.txt,368.037168822
bn_0_m_synch_t_1_s_50_f_3.txt,39.4546011371
bn_0_m_synch_t_3_s_100_f_3.txt,273.447621224
bn_0_m_synch_t_3_s_10_f_3.txt,52.5146970195
bn_0_m_synch_t_3_s_50_f_1.txt,82.8298222447
bn_0_m_synch_t_3_s_50_f_3.txt,104.788572443
bn_0_m_synch_t_3_s_50_f_5.txt,50.9687244312
bn_0_m_synch_t_8_s_50_f_3.txt,297.404032373
bn_1_m_asynch_t_1_s_50_f_3.txt,169.06460718
bn_1_m_asynch_t_3_s_100_f_3.txt,718.332844843
bn_1_m_asynch_t_3_s_10_f_3.txt,120.186185573
bn_1_m_asynch_t_3_s_50_f_1.txt,973.943707538
bn_1_m_asynch_t_3_s_50_f_3.txt,406.265180594
bn_1_m_asynch_t_3_s_50_f_5.txt,269.516041448
bn_1_m_asynch_t_8_s_50_f_3.txt,884.643513349
bn_1_m_synch_t_1_s_50_f_3.txt,163.743856938
bn_1_m_synch_t_3_s_100_f_3.txt,699.152448726
bn_1_m_synch_t_3_s_10_f_3.txt,126.569469943
bn_1_m_synch_t_3_s_50_f_1.txt,876.444553699
bn_1_m_synch_t_3_s_50_f_3.txt,367.135149549
bn_1_m_synch_t_3_s_50_f_5.txt,270.629157696
bn_1_m_synch_t_8_s_50_f_3.txt,936.292583191
bn_2_m_asynch_t_1_s_50_f_3.txt,107.492984862
bn_2_m_asynch_t_3_s_100_f_3.txt,277.167347768
bn_2_m_asynch_t_3_s_10_f_3.txt,175.663431111
bn_2_m_asynch_t_3_s_50_f_1.txt,391.115909544
bn_2_m_asynch_t_3_s_50_f_3.txt,224.526129139
bn_2_m_asynch_t_3_s_50_f_5.txt,181.270837545
bn_2_m_asynch_t_8_s_50_f_3.txt,424.949398312
bn_2_m_synch_t_1_s_50_f_3.txt,137.06455161
bn_2_m_synch_t_3_s_100_f_3.txt,264.398701896
bn_2_m_synch_t_3_s_10_f_3.txt,183.96753316
bn_2_m_synch_t_3_s_50_f_1.txt,515.213844333
bn_2_m_synch_t_3_s_50_f_3.txt,242.708501261
bn_2_m_synch_t_3_s_50_f_5.txt,169.654542635
bn_2_m_synch_t_8_s_50_f_3.txt,643.129543526
