dataset,total_score
dataset_0.txt,80.084938824
dataset_1.txt,25.7192809489
dataset_10.txt,109.089675369
dataset_11.txt,61.4385618977
dataset_12.txt,94.6576762758
dataset_13.txt,69.0949568488
dataset_14.txt,224.259434707
dataset_15.txt,109.552831857
dataset_16.txt,151.694052929
dataset_17.txt,84.7907815694
dataset_18.txt,180.811634538
dataset_19.txt,112.697811288
dataset_2.txt,51.2551247649
dataset_20.txt,410.721147894
dataset_21.txt,209.781566413
dataset_22.txt,949.426860989
dataset_23.txt,371.341353971
dataset_3.txt,32.4413435737
dataset_4.txt,71.4868369975
dataset_5.txt,39.4049811186
dataset_6.txt,1155.22579021
dataset_7.txt,378.907514118
dataset_8.txt,172.325610189
dataset_9.txt,65.9103840596
